village,date,pH,turbidity,dissolved_oxygen,nitrates,coliform,rainfall,temperature,diarrhea_cases,growth_rate,contamination_score
Sonegaon,2023-04-02,5.72,1.34,8.86,14.2,92.2,32.1,28.6,6,0.377,25.95
Dhamangaon,2023-04-02,7.11,1.0,10.0,10.86,70.2,3.6,29.8,5,0.297,15.83
Krishnapur,2023-04-02,5.78,1.0,9.5,16.74,57.2,57.1,31.9,8,0.414,20.17
Wagholi,2023-04-02,7.36,1.39,9.27,18.67,81.5,87.9,30.6,9,0.42,25.31
Tulsipur,2023-04-03,6.6,1.0,8.41,6.89,11.8,11.1,31.1,2,0.262,5.58
Ambegaon,2023-04-03,7.59,1.0,8.34,26.03,92.7,4.1,31.0,7,0.398,24.66
Krishnapur,2023-04-03,6.86,10.0,5.09,5.65,148.1,3.5,28.3,11,0.674,68.07
Sundarpur,2023-04-03,5.79,7.35,5.8,13.35,110.7,12.3,31.8,7,0.492,47.26
Gopalnagar,2023-04-03,6.96,1.0,9.39,21.35,51.5,18.4,32.9,4,0.251,13.64
Wagholi,2023-04-03,6.11,1.0,8.73,10.94,28.8,11.4,32.2,4,0.149,7.55
Krishnapur,2023-04-03,6.39,1.32,8.45,12.2,43.7,29.3,31.3,5,0.282,12.08
Umargaon,2023-04-04,6.44,1.0,9.93,7.19,14.7,10.6,32.3,3,0.19,8.19
Tulsipur,2023-04-04,7.52,1.0,9.69,9.75,23.9,13.6,33.2,2,0.208,5.69
Dhamangaon,2023-04-04,6.96,1.0,9.21,5.68,23.6,3.7,32.0,3,0.122,7.9
Bhavanipur,2023-04-04,6.93,1.0,9.71,10.22,61.7,10.6,29.1,5,0.303,8.88
Salegaon,2023-04-05,6.14,1.0,10.0,12.18,38.8,0.8,29.6,3,0.189,14.07
Dhamangaon,2023-04-05,7.2,2.66,8.15,11.71,42.0,1.0,31.8,5,0.225,16.95
Bhavanipur,2023-04-06,7.59,1.0,9.2,6.32,19.0,1.2,32.9,2,0.146,9.13
Malegaon,2023-04-06,6.89,1.0,9.29,6.76,37.6,7.1,27.9,5,0.197,7.14
Vadgaon,2023-04-06,6.31,3.85,6.79,9.78,74.8,23.0,30.8,7,0.338,25.83
Ambegaon,2023-04-06,6.65,1.49,9.55,6.84,20.3,11.5,33.5,5,0.189,7.13
Shivgarh,2023-04-07,7.42,3.2,8.91,18.09,115.1,12.9,32.1,7,0.589,34.38
Balkishan,2023-04-07,6.21,3.16,7.96,9.68,56.1,2.7,32.8,4,0.283,26.02
Umargaon,2023-04-07,5.54,1.0,9.9,11.67,44.4,18.1,31.7,4,0.313,14.0
Radhapur,2023-04-08,7.42,1.0,9.17,17.41,78.2,79.6,31.0,12,0.549,21.68
Sundarpur,2023-04-08,6.76,1.47,7.32,9.77,38.9,5.9,29.6,3,0.197,11.63
Wagholi,2023-04-08,6.78,1.67,9.07,8.96,28.2,18.9,30.8,5,0.301,12.35
Morwada,2023-04-08,7.06,1.0,9.13,8.9,24.6,2.9,31.2,1,0.125,3.97
Salegaon,2023-04-08,6.98,1.0,9.41,9.51,32.2,1.8,31.4,3,0.225,7.93
Tarwada,2023-04-08,6.91,1.0,9.77,10.41,29.6,15.5,30.3,5,0.251,14.01
Ranjangaon,2023-04-08,7.31,4.33,8.63,8.16,50.2,6.7,31.7,6,0.328,27.84
Bhavanipur,2023-04-08,6.9,1.73,9.74,17.16,76.1,9.2,28.8,7,0.42,25.08
Khandala,2023-04-08,7.28,9.12,5.64,19.78,146.6,63.7,30.5,12,0.768,70.28
Gopalnagar,2023-04-09,7.48,1.69,9.87,7.38,24.8,8.4,30.0,6,0.193,7.57
Gopalnagar,2023-04-09,6.66,2.91,8.82,10.89,39.4,0.9,30.2,3,0.225,14.16
Vadgaon,2023-04-09,7.42,1.0,9.01,42.73,133.1,10.5,28.6,9,0.604,44.03
Tarwada,2023-04-09,7.11,1.18,10.0,10.63,35.8,11.8,30.7,3,0.191,9.45
Dhamangaon,2023-04-09,7.45,1.95,9.91,11.59,37.5,1.0,33.5,6,0.346,15.89
Deulgaon,2023-04-09,7.19,2.27,7.76,12.66,42.9,17.0,32.7,8,0.401,20.99
Sundarpur,2023-04-09,6.52,1.0,8.36,17.64,53.3,15.1,30.6,9,0.393,16.16
Umargaon,2023-04-10,7.09,2.18,8.38,10.71,41.4,10.4,34.5,7,0.259,10.94
Bhimnagar,2023-04-10,7.76,1.0,10.0,48.66,115.7,1.0,31.0,11,0.587,38.94
Dhamangaon,2023-04-10,6.44,1.0,10.0,7.75,17.2,4.0,30.4,1,0.272,3.69
Krishnapur,2023-04-10,7.5,2.74,7.14,10.01,54.7,17.3,31.2,6,0.314,14.72
Radhapur,2023-04-11,6.0,1.0,9.23,9.67,44.7,11.8,31.3,4,0.243,10.07
Deulgaon,2023-04-12,6.62,5.78,5.76,15.37,82.2,9.1,31.4,7,0.362,38.74
Tulsipur,2023-04-12,6.75,1.0,8.8,18.28,72.3,10.6,27.2,7,0.344,21.61
Shivgarh,2023-04-12,8.38,6.61,8.0,19.07,115.2,17.0,28.8,7,0.461,47.63
Shivgarh,2023-04-12,8.4,1.49,9.24,20.89,51.9,9.0,27.2,7,0.266,17.37
Madhavpur,2023-04-12,7.22,1.5,9.05,15.56,47.0,6.3,30.4,4,0.359,13.56
Wagholi,2023-04-12,6.99,1.0,10.0,8.52,20.6,12.4,31.8,6,0.226,7.13
Salegaon,2023-04-12,7.07,2.06,7.67,12.43,48.5,32.0,30.8,9,0.319,19.75
Jawahar Nagar,2023-04-13,6.03,2.84,7.72,5.85,37.9,3.6,32.2,7,0.278,14.86
Ambegaon,2023-04-13,6.58,1.26,10.0,11.92,47.8,22.2,29.1,4,0.265,10.99
Nandgaon,2023-04-13,7.67,1.0,10.0,9.84,53.6,26.7,32.6,7,0.352,13.63
Ranjangaon,2023-04-13,7.19,1.0,8.61,6.92,195.3,0.7,31.3,14,0.895,43.38
Deulgaon,2023-04-13,6.59,2.67,8.96,24.59,112.6,101.2,32.2,9,0.551,34.44
Ranjangaon,2023-04-13,6.67,10.0,4.08,17.39,130.2,14.8,30.9,12,0.605,71.63
Jawahar Nagar,2023-04-13,8.5,1.0,9.07,8.48,24.8,19.2,32.7,5,0.17,8.51
Morwada,2023-04-14,7.5,1.0,10.0,17.18,51.9,4.3,31.1,6,0.367,12.8
Sitapur,2023-04-15,7.27,3.51,7.92,6.39,40.6,4.7,31.8,2,0.227,18.26
Tulsipur,2023-04-15,7.33,8.59,6.73,15.85,127.4,47.7,32.8,14,0.641,55.21
Vadgaon,2023-04-15,6.37,1.0,8.71,9.59,27.4,8.2,30.2,7,0.247,13.2
Sonegaon,2023-04-15,6.7,3.69,7.3,9.3,62.5,8.6,26.0,4,0.439,20.29
Devgaon,2023-04-16,7.1,10.0,4.42,8.2,113.9,11.2,32.7,8,0.487,60.86
Krishnapur,2023-04-16,8.48,1.23,8.84,23.59,62.0,6.3,32.0,5,0.309,21.75
Pimpalgaon,2023-04-17,6.86,1.0,10.0,43.01,123.6,7.5,31.4,10,0.621,37.65
Pimpalgaon,2023-04-17,7.19,2.21,9.58,6.26,32.4,7.3,31.3,4,0.259,12.43
Krishnapur,2023-04-18,6.67,5.43,6.71,13.68,90.0,45.9,29.3,12,0.567,37.72
Gopalnagar,2023-04-18,6.64,4.16,7.7,30.63,124.9,24.2,33.2,12,0.66,45.02
Jawahar Nagar,2023-04-18,7.04,2.02,8.4,8.03,32.3,19.7,28.2,5,0.257,12.51
Nandgaon,2023-04-18,6.95,1.0,10.0,9.68,35.0,0.1,30.1,6,0.265,9.21
Ranjangaon,2023-04-19,7.16,1.0,10.0,7.93,21.8,2.2,30.8,7,0.234,8.43
Chikhali,2023-04-19,6.52,2.38,10.0,7.97,31.8,13.3,31.5,2,0.331,12.78
Radhapur,2023-04-19,8.07,2.43,9.04,17.59,91.6,13.2,29.5,8,0.468,23.68
Shivgarh,2023-04-19,6.82,7.67,6.57,7.24,79.2,1.9,34.0,6,0.422,46.13
Tulsipur,2023-04-19,6.56,2.26,8.73,9.79,43.3,21.5,31.4,5,0.334,19.34
Harinagar,2023-04-19,6.99,1.29,9.19,7.78,20.6,4.3,31.3,4,0.196,3.22
Ranjangaon,2023-04-19,7.0,7.75,6.55,20.88,113.7,5.2,29.7,9,0.496,48.81
Karanjgaon,2023-04-19,5.94,1.0,9.46,25.69,181.5,134.4,31.3,15,0.832,47.28
Chikhali,2023-04-19,6.04,1.0,10.0,13.24,42.9,6.7,32.1,6,0.271,12.49
Gopalnagar,2023-04-20,6.1,6.44,6.92,21.66,147.2,28.7,29.0,12,0.715,56.47
Bhimnagar,2023-04-20,6.3,5.32,6.28,10.77,104.6,3.4,29.9,7,0.444,39.49
Madhavpur,2023-04-20,6.22,1.0,9.62,14.57,44.3,2.5,29.9,3,0.298,11.53
Sitapur,2023-04-20,7.35,3.02,8.21,7.02,39.7,1.7,31.2,5,0.217,15.66
Bhimnagar,2023-04-20,6.89,1.0,9.82,14.72,68.4,10.7,31.1,5,0.339,16.0
Tarwada,2023-04-20,6.91,1.66,8.98,26.07,72.2,6.0,30.6,9,0.364,24.81
Wagholi,2023-04-20,7.63,1.0,10.0,9.68,18.4,3.1,31.4,1,0.146,6.0
Shivgarh,2023-04-21,7.25,1.0,9.16,19.07,58.6,22.9,31.6,4,0.316,15.29
Balkishan,2023-04-21,7.84,4.39,7.05,8.98,67.6,10.9,30.0,7,0.346,26.14
Sonegaon,2023-04-21,7.0,3.43,8.69,8.01,166.4,14.7,31.6,11,0.689,40.76
Ranjangaon,2023-04-21,6.91,1.0,9.46,7.01,20.3,7.2,32.5,1,0.205,1.77
Chandpur,2023-04-21,6.24,1.09,10.0,20.08,64.6,42.6,31.1,10,0.348,18.52
Khandala,2023-04-21,7.31,3.63,9.47,10.1,56.0,0.7,33.9,5,0.317,24.26
Bhimnagar,2023-04-21,6.06,1.0,10.0,16.97,37.0,6.4,30.6,3,0.183,8.35
Laxmipur,2023-04-22,5.78,1.0,10.0,6.23,27.1,4.8,30.7,2,0.193,14.64
Salegaon,2023-04-22,7.36,2.81,7.55,9.07,155.6,8.7,27.9,11,0.638,33.75
Radhapur,2023-04-22,6.39,1.0,8.86,7.31,156.3,3.8,32.3,9,0.689,31.47
Shivgarh,2023-04-22,6.41,3.73,9.33,11.37,66.9,40.2,30.7,9,0.399,28.49
Nandgaon,2023-04-23,6.54,2.22,8.08,12.11,52.4,40.2,29.7,5,0.277,17.91
Tulsipur,2023-04-23,7.26,1.69,8.67,11.57,102.8,40.4,32.5,9,0.531,26.79
Shivgarh,2023-04-23,6.72,1.0,9.25,18.85,59.7,25.3,29.3,5,0.297,18.69
Gopalnagar,2023-04-23,7.09,1.2,8.53,9.08,121.5,15.4,33.5,10,0.556,20.62
Malegaon,2023-04-23,8.24,2.44,8.95,10.22,37.5,8.0,28.5,6,0.21,16.86
Sundarpur,2023-04-23,6.65,1.0,9.15,39.45,96.0,2.2,33.2,8,0.425,27.74
Rampur,2023-04-23,6.45,1.0,9.89,19.32,69.3,26.5,29.9,7,0.414,23.64
Nandgaon,2023-04-23,5.57,2.53,8.93,7.43,34.1,9.7,31.8,4,0.332,16.85
Sundarpur,2023-04-23,5.63,1.0,10.0,38.31,123.4,6.9,33.9,9,0.576,39.39
Laxmipur,2023-04-24,6.78,1.0,9.3,10.37,30.5,12.3,31.7,5,0.252,9.24
Jawahar Nagar,2023-04-24,6.79,1.25,9.55,13.35,32.8,8.2,28.3,4,0.171,9.32
Sonegaon,2023-04-24,6.57,1.05,9.63,11.5,24.5,5.7,31.1,2,0.162,2.58
Krishnapur,2023-04-24,7.01,1.52,9.42,7.85,26.3,1.4,29.6,1,0.218,6.22
Malegaon,2023-04-24,6.07,2.0,9.33,12.44,62.1,0.1,33.1,6,0.381,20.49
Deulgaon,2023-04-24,6.02,10.0,4.94,9.92,118.7,27.0,29.6,8,0.494,66.5
Morwada,2023-04-25,7.11,1.0,8.76,10.98,36.4,37.9,30.4,4,0.237,11.73
Harinagar,2023-04-25,6.42,1.99,9.05,15.37,73.1,15.1,32.1,6,0.432,18.43
Salegaon,2023-04-25,7.14,2.71,8.94,9.87,44.9,20.9,29.0,6,0.303,16.43
Tarwada,2023-04-25,5.64,1.0,9.66,19.19,66.3,27.7,30.8,6,0.434,19.6
Gopalnagar,2023-04-25,6.78,8.75,6.06,12.94,115.9,4.4,29.6,11,0.635,69.33
Salegaon,2023-04-26,6.78,5.33,5.51,7.29,53.7,0.8,31.6,3,0.368,26.28
Salegaon,2023-04-26,5.68,5.53,8.06,9.66,66.2,13.6,30.9,6,0.346,30.97
Radhapur,2023-04-26,6.66,6.57,6.87,10.65,92.3,6.1,31.0,7,0.446,39.3
Dhamangaon,2023-04-26,7.12,1.0,10.0,5.26,4.3,0.6,32.7,0,0.029,0.0
Sitapur,2023-04-26,7.08,5.94,7.71,7.97,106.5,3.7,32.5,9,0.546,40.52
Devgaon,2023-04-26,6.67,1.0,9.03,14.34,173.9,8.1,30.8,14,0.752,40.4
Harinagar,2023-04-26,5.62,1.37,10.0,12.88,50.0,10.2,27.6,3,0.243,14.72
Madhavpur,2023-04-26,8.06,1.0,10.0,10.3,157.9,13.2,30.6,11,0.719,35.26
Vadgaon,2023-04-27,7.08,1.0,10.0,9.84,18.3,6.2,30.8,4,0.168,8.76
Khandala,2023-04-27,6.48,3.62,8.33,7.11,61.2,6.0,30.1,9,0.353,24.18
Wagholi,2023-04-27,7.94,5.9,7.28,18.71,121.7,23.6,31.9,10,0.541,46.65
Sitapur,2023-04-27,7.16,1.0,8.88,10.72,27.3,12.0,29.0,2,0.148,9.16
Chandpur,2023-04-27,6.84,2.37,9.28,12.56,42.6,13.7,31.7,5,0.321,8.9
Vadgaon,2023-04-28,7.04,8.87,6.7,19.94,142.7,54.1,30.2,15,0.731,68.01
Khandala,2023-04-28,6.81,2.01,9.26,9.06,34.0,14.8,27.9,6,0.231,17.9
Pimpalgaon,2023-04-28,8.4,3.61,7.88,10.26,66.4,10.7,30.3,8,0.429,29.74
Vadgaon,2023-04-28,7.97,5.45,7.57,11.31,77.7,18.4,31.8,7,0.433,33.59
Khandala,2023-04-28,7.91,2.28,8.63,12.69,38.5,9.8,29.4,5,0.306,14.57
Devgaon,2023-04-28,8.0,1.9,9.9,7.67,34.6,2.1,30.1,5,0.227,13.03
Karanjgaon,2023-04-29,5.82,3.94,7.36,11.53,199.1,38.5,31.3,16,0.901,55.96
Chandpur,2023-04-29,6.3,1.28,8.46,40.16,94.5,2.3,33.8,8,0.422,35.53
Belpur,2023-04-29,6.89,1.16,9.83,44.0,105.3,1.4,31.0,8,0.457,33.61
Gopalnagar,2023-04-29,6.9,1.23,9.12,15.15,80.1,8.3,30.9,5,0.371,24.99
Malegaon,2023-04-30,7.08,1.0,10.0,7.15,26.8,0.4,34.3,2,0.126,8.86
Bhimnagar,2023-04-30,5.91,1.98,8.11,16.91,70.5,47.4,30.2,7,0.332,20.05
Pimpalgaon,2023-04-30,6.78,1.0,9.21,7.39,41.7,14.0,29.4,4,0.312,6.3
Vadgaon,2023-04-30,7.18,1.36,9.45,16.43,41.9,17.8,31.9,6,0.275,13.35
Jawahar Nagar,2023-04-30,7.05,4.3,7.32,9.67,177.5,26.1,30.4,12,0.765,47.06
Harinagar,2023-04-30,6.46,1.0,10.0,11.65,20.3,1.1,29.7,3,0.109,7.63
Madhavpur,2023-04-30,7.06,1.0,9.49,9.68,48.1,1.7,29.4,5,0.232,12.5
Ranjangaon,2023-05-01,8.04,1.0,9.77,10.2,29.0,32.2,33.8,5,0.21,10.96
Bhavanipur,2023-05-01,7.25,2.06,7.78,7.62,52.5,14.6,33.6,5,0.286,16.55
Chikhali,2023-05-01,6.02,1.0,9.76,6.27,63.4,2.3,33.8,6,0.332,17.21
Bhimnagar,2023-05-01,6.83,4.91,7.43,9.61,66.1,0.8,31.9,6,0.412,26.74
Chandpur,2023-05-01,7.66,1.0,10.0,10.66,28.2,4.1,35.0,2,0.192,6.08
Salegaon,2023-05-01,8.06,5.06,7.28,10.41,74.0,23.3,35.3,7,0.425,34.69
Salegaon,2023-05-01,6.74,1.68,9.14,36.94,91.7,6.1,31.6,8,0.428,33.38
Malegaon,2023-05-01,6.75,1.0,9.14,38.22,94.9,20.3,33.5,7,0.475,25.7
Tarwada,2023-05-01,6.97,1.0,8.46,42.66,127.5,24.6,31.9,11,0.568,43.37
Harinagar,2023-05-02,6.65,1.0,8.12,10.63,26.9,3.8,32.0,2,0.12,8.98
Radhapur,2023-05-02,6.62,1.01,9.54,9.22,26.9,7.7,32.7,7,0.214,7.52
Khandala,2023-05-02,7.38,1.82,9.33,18.24,49.7,11.2,34.2,3,0.201,15.88
Tarwada,2023-05-02,7.1,2.45,7.43,7.11,40.4,6.0,35.2,4,0.2,10.97
Jawahar Nagar,2023-05-02,6.83,1.37,9.94,9.73,27.9,5.0,31.0,4,0.197,13.02
Devgaon,2023-05-02,6.63,4.87,8.15,10.2,93.6,7.8,32.1,8,0.438,32.89
Khandala,2023-05-02,6.5,1.0,9.07,11.36,37.6,3.0,35.3,3,0.176,7.87
Shivgarh,2023-05-03,7.41,1.0,9.02,13.45,39.8,20.1,33.7,4,0.247,10.11
Wagholi,2023-05-03,7.21,1.0,9.51,9.71,42.4,30.6,35.1,5,0.31,10.57
Wagholi,2023-05-03,7.01,1.0,9.91,7.4,87.7,15.6,35.6,9,0.58,16.99
Khandala,2023-05-03,6.36,6.17,8.06,5.73,92.5,0.6,35.4,7,0.423,37.56
Harinagar,2023-05-03,6.78,3.74,8.35,13.02,74.3,39.5,33.3,10,0.389,27.28
Devgaon,2023-05-03,6.86,5.14,7.4,8.04,67.3,1.5,31.6,7,0.367,26.16
Rampur,2023-05-03,6.56,1.0,9.86,15.94,102.0,67.0,34.0,12,0.513,29.94
Tulsipur,2023-05-03,6.99,1.93,9.44,19.77,88.5,32.5,32.7,8,0.403,22.97
Khandala,2023-05-03,6.4,1.0,10.0,8.66,18.8,3.3,35.1,2,0.094,7.95
Sitapur,2023-05-04,6.14,1.62,9.16,8.02,32.7,0.2,32.9,5,0.306,7.55
Pimpalgaon,2023-05-04,7.8,2.71,9.0,10.61,76.1,13.3,33.4,6,0.386,22.45
Krishnapur,2023-05-04,6.59,1.38,9.55,9.93,29.9,17.6,33.8,4,0.178,9.65
Deulgaon,2023-05-04,7.32,1.0,8.63,37.23,166.1,8.3,32.7,12,0.684,40.29
Gopalnagar,2023-05-04,5.78,1.0,10.0,9.92,32.1,13.2,35.8,3,0.336,13.16
Laxmipur,2023-05-04,6.75,1.0,8.28,9.4,21.5,7.2,33.8,4,0.15,6.29
Bhavanipur,2023-05-04,6.28,1.0,9.29,8.09,64.5,0.8,31.5,8,0.471,16.81
Chikhali,2023-05-05,6.54,1.52,7.59,7.04,30.3,6.4,34.8,3,0.222,5.45
Balkishan,2023-05-05,6.27,3.93,7.01,27.21,112.8,52.7,33.6,10,0.502,38.79
Deulgaon,2023-05-05,7.49,1.83,9.46,12.97,80.5,22.7,32.3,7,0.459,20.93
Karanjgaon,2023-05-05,7.6,2.6,10.0,19.04,78.1,24.9,33.8,5,0.426,24.83
Tarwada,2023-05-05,6.07,10.0,5.47,11.92,125.7,2.4,34.3,9,0.614,64.13
Gopalnagar,2023-05-05,7.06,2.22,10.0,21.23,95.1,21.0,34.7,8,0.554,23.58
Dhamangaon,2023-05-05,5.67,2.85,9.23,44.77,147.5,14.9,34.2,11,0.696,51.26
Harinagar,2023-05-05,6.77,8.11,6.14,11.93,105.9,21.8,33.0,9,0.538,51.86
Pimpalgaon,2023-05-06,7.99,1.0,10.0,14.45,39.4,26.5,34.9,3,0.171,12.86
Ambegaon,2023-05-06,7.18,7.17,6.38,19.49,102.0,3.4,33.2,11,0.492,50.2
Bhavanipur,2023-05-06,7.34,4.46,6.43,12.05,65.0,24.0,31.6,6,0.328,31.37
Devgaon,2023-05-06,6.66,2.84,9.55,8.56,37.2,14.1,32.7,5,0.272,14.06
Karanjgaon,2023-05-06,7.16,6.55,6.58,10.05,79.9,9.3,33.6,11,0.449,41.19
Dhamangaon,2023-05-06,6.78,1.0,8.29,40.98,119.7,63.8,32.3,10,0.592,37.91
Sonegaon,2023-05-07,6.26,1.0,10.0,11.56,28.6,10.8,30.4,6,0.192,8.5
Rampur,2023-05-07,6.79,1.06,9.38,49.57,120.4,10.4,35.0,9,0.587,42.94
Salegaon,2023-05-07,6.26,1.0,9.99,8.75,189.9,3.2,31.1,13,0.901,41.08
Laxmipur,2023-05-07,6.94,6.87,6.5,10.4,90.8,34.0,35.4,9,0.54,47.33
Tulsipur,2023-05-07,6.62,1.0,9.53,42.48,165.6,18.9,32.3,13,0.787,53.15
Morwada,2023-05-07,7.28,3.42,7.69,7.8,43.1,1.1,32.9,3,0.228,17.99
Deulgaon,2023-05-08,7.23,1.27,9.51,10.35,44.7,26.5,32.4,5,0.333,16.05
Pimpalgaon,2023-05-08,6.18,4.85,7.48,12.74,84.9,9.5,31.7,7,0.373,30.71
Radhapur,2023-05-08,7.28,5.21,7.91,10.96,80.0,21.9,34.7,9,0.445,35.75
Sitapur,2023-05-08,6.87,1.0,10.0,6.75,15.5,5.8,31.3,2,0.18,5.28
Harinagar,2023-05-08,6.8,3.38,9.13,12.38,47.6,2.3,32.3,5,0.368,22.98
Sitapur,2023-05-08,6.85,1.0,8.72,9.79,33.1,17.9,32.2,3,0.21,8.46
Sitapur,2023-05-08,7.14,1.02,9.24,13.97,52.5,38.8,35.1,8,0.295,17.2
Bhimnagar,2023-05-09,6.06,1.0,9.22,15.47,41.7,14.4,33.1,5,0.297,16.95
Wagholi,2023-05-09,7.14,2.37,9.29,11.62,46.2,26.6,31.9,4,0.334,13.28
Laxmipur,2023-05-09,7.05,4.9,7.87,10.55,71.0,21.6,33.0,5,0.377,29.94
Sonegaon,2023-05-09,6.24,1.77,9.8,9.91,35.1,10.4,34.0,4,0.202,10.26
Balkishan,2023-05-09,5.55,2.06,9.01,16.26,55.0,30.1,32.0,4,0.29,21.26
Krishnapur,2023-05-09,6.07,3.43,7.62,14.65,75.5,53.3,31.5,9,0.4,29.29
Malegaon,2023-05-09,6.13,1.28,9.26,7.7,61.0,10.6,34.5,4,0.3,14.96
Salegaon,2023-05-09,8.06,1.0,7.95,11.51,29.6,23.1,33.9,4,0.217,7.97
Umargaon,2023-05-10,6.74,1.12,10.0,6.67,26.7,4.5,36.5,3,0.212,3.07
Jawahar Nagar,2023-05-10,6.83,1.0,7.98,6.86,15.8,7.7,31.8,2,0.264,1.93
Bhavanipur,2023-05-10,7.09,2.17,9.57,12.17,44.4,16.4,34.5,5,0.251,16.31
Chandpur,2023-05-10,6.39,1.0,9.28,7.56,33.8,5.3,33.0,2,0.213,6.24
Deulgaon,2023-05-10,6.65,1.0,8.85,10.54,19.4,6.8,34.6,1,0.183,5.56
Gopalnagar,2023-05-10,6.63,1.0,8.91,11.08,66.2,23.4,31.4,5,0.374,13.48
Pimpalgaon,2023-05-11,7.05,1.0,10.0,13.33,37.6,11.3,33.6,3,0.25,11.95
Ranjangaon,2023-05-11,7.15,1.0,9.53,18.58,66.2,59.0,33.1,6,0.306,12.95
Morwada,2023-05-11,7.51,2.04,9.59,5.89,31.7,3.4,32.9,2,0.24,12.78
Sundarpur,2023-05-11,7.18,2.2,8.37,10.24,38.1,20.5,32.7,3,0.257,14.88
Malegaon,2023-05-11,6.55,1.04,9.56,27.51,69.9,8.6,34.9,8,0.383,20.42
Wagholi,2023-05-12,7.15,3.22,9.68,14.13,73.0,37.6,35.8,7,0.354,21.83
Harinagar,2023-05-12,7.49,1.0,10.0,13.68,87.7,19.1,33.1,6,0.417,19.32
Gopalnagar,2023-05-12,8.22,1.0,10.0,8.07,17.6,1.1,32.3,2,0.132,5.31
Gopalnagar,2023-05-12,6.71,1.88,10.0,15.13,64.8,24.5,33.4,5,0.369,20.91
Deulgaon,2023-05-13,6.94,1.0,10.0,10.01,101.5,32.4,32.7,9,0.617,16.97
Chandpur,2023-05-13,7.02,1.0,9.35,10.11,24.3,2.1,31.2,3,0.222,5.61
Balkishan,2023-05-14,5.73,1.0,8.86,8.48,26.1,19.1,33.5,2,0.164,10.33
Radhapur,2023-05-14,6.72,3.83,7.81,12.94,71.8,33.8,32.2,9,0.373,24.7
Harinagar,2023-05-14,7.64,6.13,6.73,10.39,79.3,4.7,31.8,9,0.443,40.56
Harinagar,2023-05-14,6.1,5.98,6.37,8.24,80.4,21.6,31.5,8,0.476,40.02
Shivgarh,2023-05-15,7.39,1.03,10.0,8.56,14.3,2.7,32.0,1,0.123,3.86
Deulgaon,2023-05-15,6.96,1.75,7.57,15.31,58.5,6.9,33.8,8,0.356,16.78
Morwada,2023-05-15,6.49,1.0,9.0,7.56,52.3,2.8,33.6,5,0.253,9.34
Bhimnagar,2023-05-15,7.19,2.18,8.53,38.46,105.2,0.5,31.8,9,0.531,37.13
Krishnapur,2023-05-15,7.6,3.1,8.89,13.64,87.0,4.3,33.4,7,0.369,30.38
Pimpalgaon,2023-05-16,5.6,1.0,10.0,9.75,23.1,14.3,34.7,2,0.188,6.32
Shivgarh,2023-05-16,7.44,8.42,6.09,10.58,112.4,21.4,31.1,8,0.594,54.65
Sundarpur,2023-05-16,6.32,1.32,9.4,18.63,71.5,78.6,34.8,7,0.325,20.91
Vadgaon,2023-05-16,8.03,1.0,9.37,36.85,103.5,19.9,32.5,7,0.603,31.23
Tulsipur,2023-05-16,8.06,1.0,9.74,8.67,23.7,23.2,32.9,7,0.233,11.61
Balkishan,2023-05-16,5.86,1.99,8.76,10.36,35.9,2.1,33.8,2,0.262,17.45
Nandgaon,2023-05-16,6.89,4.25,8.4,6.6,46.3,8.8,33.0,3,0.21,18.14
Nandgaon,2023-05-16,5.72,4.53,6.83,13.85,112.4,20.6,33.0,11,0.601,43.64
Pimpalgaon,2023-05-16,7.21,2.31,7.68,10.85,36.0,5.1,33.7,5,0.267,16.48
Krishnapur,2023-05-16,6.56,1.62,10.0,13.2,43.1,24.8,33.2,5,0.355,13.51
Belpur,2023-05-16,8.29,1.9,8.48,9.47,37.6,11.1,32.4,4,0.296,13.0
Khandala,2023-05-16,7.8,1.06,8.57,8.92,78.4,6.8,34.9,8,0.46,17.55
Salegaon,2023-05-16,6.04,1.88,7.64,17.72,129.8,11.7,32.6,11,0.624,34.62
Malegaon,2023-05-16,7.43,2.35,9.79,9.39,54.8,17.4,35.9,3,0.329,15.78
Krishnapur,2023-05-17,6.66,1.0,8.89,21.93,60.3,37.6,34.1,9,0.39,19.71
Shivgarh,2023-05-17,6.79,1.0,10.0,11.55,31.9,14.9,35.2,4,0.159,7.99
Dhamangaon,2023-05-17,7.97,1.0,7.68,11.14,163.0,14.8,33.3,12,0.773,33.81
Dhamangaon,2023-05-17,8.08,1.0,9.42,11.67,24.5,11.5,34.2,2,0.133,5.27
Belpur,2023-05-17,7.05,2.08,9.27,7.97,43.5,8.4,33.2,6,0.416,13.74
Balkishan,2023-05-17,6.63,1.0,9.14,8.56,45.0,10.2,32.6,5,0.215,8.79
Wagholi,2023-05-17,6.86,3.2,7.64,7.61,52.3,14.9,31.8,9,0.328,21.1
Chikhali,2023-05-17,6.63,1.0,10.0,11.97,28.2,20.0,32.2,5,0.234,10.14
Salegaon,2023-05-18,6.16,1.57,9.45,6.25,55.5,5.1,32.1,7,0.373,15.44
Salegaon,2023-05-18,7.1,1.31,9.95,19.45,63.8,22.7,32.4,6,0.374,15.36
Sundarpur,2023-05-18,7.74,2.96,8.01,11.7,66.6,22.4,33.4,7,0.336,25.55
Dhamangaon,2023-05-19,6.74,1.71,9.77,18.0,57.6,16.5,31.9,7,0.336,17.46
